Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
Babaroga Games,3/1/2024,4,,Indie,Illinois,United States
Radical Forge,3/1/2024,6,,Indie,England,United Kingdom
FrogSong Studios,3/1/2024,25,,Indie,Sweden,Sweden
505 Games,2/29/2024,,Digital Bros,Publisher,Italy,Italy
Keoken Interactive,2/29/2024,4,,Indie,Netherlands,Netherlands
Wildlife Studios,2/28/2024,130,,Mobile,,Brazil
Electronic Arts,2/28/2024,670,Electronic Arts,Publisher,,United States
Deck Nine Games,2/27/2024,25,,Console,Colorado,United States
PlayStation London,2/27/2024,,,Console,England,Japan
PlayStation Studios,2/27/2024,900,Sony,Console,,Japan
Die Gut Fabrik,2/26/2024,10,,Indie,Denmark,Denmark
SuperMassive Games,2/26/2024,90,,Console,England,United Kingdom
CodeMasters,2/23/2024,,Electronic Arts,Mobile,England,United States
GameLoft Lviv,2/21/2024,38,Viacom,Mobile,Ukraine,France
Disruptive Games,2/21/2024,,,Console,California,United States
Noggin,2/16/2024,,Paramount Global,Online,,United States
Build a Rocket Boy,2/19/2024,,,Console,,United Kingdom
Scopely,2/14/2024,15,Savvy Games Group,Mobile,California,Saudi Arabia
Daybreak Games,2/12/2024,15,Enad Global 7,Online,California,Sweden
Genvid Technologies,2/12/2024,,,Online,,United States
Threshold Games,2/9/2024,11,,Indie,,United States
GameScience,2/7/2024,10,Prytania Media,Indie,,United States
Hidden Path Entertainment,2/7/2024,44,,Indie,Washington,United States
91Act,2/7/2024,15,,Indie,,China
Cloud Imperium Games,2/6/2024,,,Indie,,United States
Visual Concepts,2/6/2024,,TakeTwo Interactive,Console,Texas,United States
Crop Circle Games,2/5/2024,,Prytania Media,Indie,,United States
Chimera Entertainment,2/1/2024,20,Remote Control Productions,Mobile,,
Threaks,2/1/2024,25,,Indie,Germany,Germany
Artificer,1/31/2024,,Devolver Digital,Console,,
Airship Syndicate,1/31/2024,12,,Indie,Texas,United States
Rovio Montreal,1/31/2024,12,SEGA,Mobile,,Japan
Starword Industries,1/30/2024,15,,Console,Poland,Poland
Nimble Giant,1/30/2024,,Embracer Group,Console,,Sweden
Black Forest Games,1/25/2024,40,Embracer Group,Console,,Sweden
Plarium,1/24/2024,45,Aristocrat Games,Mobile,,
Little Red Dog Games,1/22/2024,30,,Console,,
Chief Rebel,1/19/2024,,,Indie,,
